HotelId,RoomCode,MealPlan,Occupancy,Date,Price,MinLOS,MaxLOS,StopSell,Alloc
HG_001,DBL,RO,ADL-1,2026-05-01,50.69,1,21,true,0
HG_001,DBL,RO,ADL-1,2026-05-02,69.10,1,21,true,0
HG_001,DBL,RO,ADL-1,2026-05-03,71.50,1,21,true,0
HG_001,DBL,RO,ADL-1,2026-05-04,49.86,1,21,false,2
HG_001,DBL,RO,ADL-1,2026-05-05,49.32,1,21,false,2
HG_001,DBL,RO,ADL-1,2026-05-06,49.33,1,21,false,2
HG_001,DBL,RO,ADL-1,2026-05-07,50.29,1,21,false,2
HG_001,DBL,RO,ADL-1,2026-05-08,50.16,1,21,false,2
HG_001,DBL,RO,ADL-1,2026-05-09,70.22,1,21,false,2
HG_001,DBL,RO,ADL-1,2026-05-10,69.01,1,21,false,2
HG_001,DBL,RO,ADL-1,2026-05-11,49.09,1,21,false,2
HG_001,DBL,RO,ADL-1,2026-05-12,48.96,1,21,false,2
HG_001,DBL,RO,ADL-1,2026-05-13,50.93,1,21,false,2
HG_001,DBL,RO,ADL-1,2026-05-14,51.15,1,21,false,2
HG_001,DBL,RO,ADL-1,2026-05-15,50.71,1,21,false,2
HG_001,DBL,RO,ADL-1,2026-05-16,80.79,1,21,false,2
HG_001,DBL,RO,ADL-1,2026-05-17,79.73,1,21,false,2
HG_001,DBL,RO,ADL-1,2026-05-18,59.90,1,21,false,2
HG_001,DBL,RO,ADL-1,2026-05-19,59.81,1,21,false,2
HG_001,DBL,RO,ADL-1,2026-05-20,60.68,1,21,false,2
HG_001,DBL,RO,ADL-1,2026-05-21,59.89,1,21,true,0
HG_001,DBL,RO,ADL-1,2026-05-22,60.61,1,21,true,0
HG_001,DBL,RO,ADL-1,2026-05-23,80.04,1,21,true,0
HG_001,DBL,RO,ADL-1,2026-05-24,80.05,1,21,false,2
HG_001,DBL,RO,ADL-1,2026-05-25,59.13,1,21,false,2
HG_001,DBL,RO,ADL-1,2026-05-26,59.26,1,21,false,2
HG_001,DBL,RO,ADL-1,2026-05-27,60.98,1,21,false,2
HG_001,DBL,RO,ADL-1,2026-05-28,59.89,1,21,false,2
HG_001,DBL,RO,ADL-1,2026-05-29,61.26,1,21,false,2
HG_001,DBL,RO,ADL-1,2026-05-30,78.19,1,21,false,2
HG_001,DBL,RO,ADL-1,2026-05-31,88.85,1,21,false,2
